id;gender;math;daysabs;prog
1001;male;63;4;academic
1002;male;27;4;academic
1003;female;20;2;academic
1004;female;16;3;academic
1005;female;2;3;academic
1006;female;71;13;academic
1007;female;63;11;academic
1008;male;3;7;academic
1009;male;51;10;academic
1010;male;49;9;vocational
1011;female;31;4;vocational
1012;male;22;5;academic
1013;female;73;5;academic
1014;female;77;6;general
1015;male;10;1;vocational
1016;male;89;0;academic
1017;female;34;1;academic
1018;female;35;0;academic
1019;male;77;5;general
1020;male;4;24;academic
1021;female;21;2;academic
1022;male;61;0;academic
1023;male;41;1;academic
1024;male;63;0;academic
1025;female;19;8;academic
1026;male;55;6;general
1027;male;6;7;academic
1028;female;21;0;academic
1029;male;70;2;academic
1030;male;79;3;general
1031;male;1;0;academic
1032;female;29;1;academic
1033;male;40;3;academic
1034;male;39;0;academic
1035;male;68;0;academic
1036;female;20;28;academic
1037;male;10;8;academic
1038;male;84;5;academic
1039;male;1;5;general
1040;female;35;27;academic
1041;female;32;5;academic
1042;female;34;18;academic
1043;female;40;19;academic
1044;male;29;9;academic
1045;male;20;9;academic
1046;female;27;4;academic
1047;male;74;2;academic
1048;male;38;3;academic
1049;male;21;9;academic
1050;female;81;20;academic
1051;male;16;6;academic
1052;male;59;0;academic
1053;male;48;27;academic
1054;female;55;12;academic
1055;female;4;34;academic
1056;male;57;1;academic
1057;male;5;28;general
1058;male;3;8;general
1059;female;23;3;academic
1060;female;35;2;academic
1061;male;33;1;academic
1062;female;27;7;academic
1063;male;13;4;academic
1064;male;46;8;academic
1065;female;30;6;academic
1066;male;32;16;academic
1067;female;26;6;general
1068;female;14;4;academic
1069;female;31;3;vocational
1070;female;48;5;academic
1071;male;72;0;academic
1072;male;79;9;academic
1073;male;15;0;vocational
1074;male;24;8;academic
1075;female;55;0;vocational
1076;female;13;14;general
1077;male;34;4;academic
1078;male;67;2;academic
1079;male;1;35;academic
1080;female;21;23;academic
1081;female;33;13;academic
1082;male;78;6;academic
1083;female;84;3;general
1084;male;59;6;academic
1085;male;75;0;academic
1086;male;22;11;general
1087;female;49;11;academic
1088;female;13;11;academic
1089;male;84;4;vocational
1090;male;27;6;academic
1091;female;27;23;academic
1092;female;70;5;academic
1093;male;96;5;academic
1094;female;70;29;general
1095;female;10;7;academic
1096;male;14;1;academic
1097;male;20;9;academic
1098;male;11;11;academic
1099;male;42;18;academic
1100;male;2;12;academic
1101;male;24;6;general
1102;male;37;0;academic
1103;male;13;4;academic
1104;male;3;10;academic
1105;male;70;19;general
1106;female;27;1;academic
1107;female;1;12;general
1108;female;61;3;academic
1109;male;44;0;academic
1110;male;35;9;academic
1111;male;78;14;academic
1112;female;3;7;academic
1113;male;21;3;academic
1114;male;26;10;academic
1115;male;44;12;academic
1116;female;47;6;academic
1117;female;35;35;academic
1118;female;8;16;general
1119;female;87;3;academic
1120;male;3;10;academic
1121;male;6;6;academic
1122;male;89;3;general
1123;male;13;2;academic
1124;male;84;6;academic
1125;male;90;5;academic
1126;female;71;13;academic
1127;female;15;7;general
1128;female;41;5;academic
1129;female;63;3;academic
1130;female;34;30;academic
1131;female;45;16;academic
1132;female;29;15;academic
1133;female;3;12;academic
1134;male;35;1;academic
1135;male;32;4;general
1136;male;22;7;academic
1137;female;81;1;academic
1139;female;73;10;academic
1140;male;69;3;academic
1141;female;27;30;general
1142;female;13;2;academic
1143;female;76;13;academic
1144;female;7;5;general
1145;male;59;5;academic
1146;female;29;5;academic
1147;female;57;4;academic
1148;female;44;3;academic
1149;female;53;20;academic
1150;female;23;12;academic
1151;female;29;34;general
1152;male;40;6;academic
1153;male;49;14;academic
1154;female;38;16;general
1155;male;31;9;general
1156;female;21;15;general
1157;male;8;15;general
1158;male;37;0;academic
1159;male;53;1;academic
2001;female;31;4;vocational
2002;male;57;0;vocational
2003;male;57;0;vocational
2004;male;59;2;vocational
2005;female;29;1;vocational
2006;female;41;2;academic
2007;male;71;0;vocational
2008;female;59;0;vocational
2009;male;71;0;vocational
2010;female;70;7;vocational
2011;male;77;2;vocational
2012;female;70;9;academic
2013;female;87;6;vocational
2014;male;59;4;vocational
2015;male;65;1;vocational
2016;female;28;7;academic
2017;male;77;0;vocational
2018;male;65;0;vocational
2019;female;73;4;vocational
2020;male;99;2;academic
2021;female;57;0;vocational
2022;female;77;4;vocational
2023;female;57;2;academic
2024;female;47;21;general
2025;female;24;1;vocational
2026;male;84;0;vocational
2027;female;73;1;vocational
2028;male;81;16;vocational
2029;female;52;9;general
2030;female;75;16;vocational
2031;male;65;0;academic
2032;female;44;11;general
2033;male;44;1;vocational
2034;female;79;2;vocational
2035;female;20;3;vocational
2036;female;16;4;academic
2037;female;99;2;academic
2038;female;71;7;general
2039;male;46;7;vocational
2040;female;57;0;academic
2041;female;67;1;academic
2042;female;87;1;vocational
2043;female;70;0;vocational
2044;female;21;13;vocational
2045;female;31;1;vocational
2046;male;63;0;vocational
2047;female;44;1;academic
2048;male;34;0;vocational
2049;female;77;4;general
2050;female;94;0;vocational
2051;female;41;4;general
2052;female;67;0;vocational
2053;female;61;2;vocational
2054;male;82;0;vocational
2055;female;63;4;general
2056;male;63;0;vocational
2057;female;77;4;vocational
2058;male;46;3;vocational
2059;male;8;1;vocational
2060;female;61;0;academic
2061;female;71;1;academic
2062;female;65;4;vocational
2063;female;41;1;academic
2064;male;16;9;academic
2065;female;22;0;vocational
2066;male;57;4;academic
2067;female;51;8;academic
2068;male;74;13;academic
2069;male;41;0;vocational
2070;male;87;0;vocational
2071;male;67;0;vocational
2072;female;99;0;academic
2073;female;63;2;academic
2074;female;65;5;vocational
2075;female;71;1;vocational
2076;male;77;0;vocational
2077;female;67;3;general
2078;female;79;1;academic
2079;female;20;2;vocational
2080;male;84;4;general
2081;male;28;5;academic
2082;female;20;3;vocational
2083;male;26;1;vocational
2084;female;75;3;academic
2085;female;63;6;vocational
2086;male;39;8;vocational
2087;male;32;21;academic
2088;male;15;1;academic
2089;female;55;7;vocational
2090;female;32;5;academic
2091;male;34;1;academic
2092;female;67;1;vocational
2093;female;41;0;vocational
2094;male;41;4;vocational
2095;female;29;0;academic
2096;male;43;14;vocational
2097;female;77;2;academic
2098;female;53;2;vocational
2099;female;44;2;vocational
2100;male;51;0;vocational
2101;male;67;1;vocational
2102;male;49;19;vocational
2103;female;37;2;academic
2104;male;65;11;vocational
2105;male;43;3;general
2106;female;48;5;academic
2107;female;99;16;general
2108;female;34;0;vocational
2109;male;87;5;vocational
2110;male;75;3;vocational
2111;female;57;2;academic
2112;male;61;2;vocational
2113;male;73;8;general
2114;female;70;0;vocational
2115;female;99;3;vocational
2116;male;73;0;vocational
2117;male;66;1;vocational
2118;male;57;9;academic
2119;male;77;1;vocational
2120;male;53;0;vocational
2121;male;73;0;vocational
2122;male;84;1;vocational
2123;male;83;12;academic
2124;female;77;3;vocational
2125;male;44;0;vocational
2126;female;79;1;vocational
2127;male;53;8;general
2128;female;43;1;vocational
2129;male;46;1;vocational
2130;female;35;7;academic
2131;female;63;6;vocational
2132;female;75;0;vocational
2133;female;84;8;vocational
2134;male;41;0;academic
2135;female;32;1;vocational
2136;male;12;0;academic
2137;male;61;4;vocational
2138;female;99;17;academic
2139;male;67;9;general
2140;female;35;0;vocational
2141;female;70;0;vocational
2142;female;87;1;vocational
2143;male;70;3;vocational
2144;male;57;1;academic
2145;male;44;2;vocational
2146;female;26;2;vocational
2147;male;63;2;vocational
2148;female;8;5;academic
2150;male;63;3;vocational
2151;female;59;7;vocational
2152;female;46;1;vocational
2153;male;26;1;academic
2154;female;79;3;vocational
2155;female;59;0;academic
2156;female;90;0;vocational
2157;female;77;2;vocational
